	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000014914_MTMR11"	284.00	210.00	257.00	279.00
"ENSG00000014919_COX15"	527.00	443.00	500.00	592.00
"ENSG00000015133_CCDC88C"	392.00	445.00	406.00	562.00
"ENSG00000015153_YAF2"	145.00	166.00	154.00	172.00
"ENSG00000015171_ZMYND11"	935.00	947.00	997.00	1090.00
"ENSG00000015285_WAS"	0.00	0.00	0.00	0.00
"ENSG00000015413_DPEP1"	6.00	0.00	4.00	4.00
"ENSG00000015475_BID"	451.00	407.00	384.00	450.00
"ENSG00000015479_MATR3"	2923.01	2830.06	3456.29	3410.91
"ENSG00000015520_NPC1L1"	1.00	0.00	0.00	3.00
"ENSG00000015532_XYLT2"	585.00	453.00	432.00	561.00
"ENSG00000015568_RGPD5"	170.23	199.38	159.64	261.88
"ENSG00000015592_STMN4"	0.00	0.00	0.00	0.00
"ENSG00000015676_NUDCD3"	1377.00	1235.00	1132.00	1543.00
"ENSG00000016082_ISL1"	1.00	0.00	0.00	0.00
"ENSG00000016391_CHDH"	0.00	0.00	1.00	0.00
"ENSG00000016402_IL20RA"	3.00	0.00	1.00	0.00
"ENSG00000016490_CLCA1"	0.00	0.00	0.00	0.00
"ENSG00000016602_CLCA4"	0.00	0.00	0.00	0.00
"ENSG00000016864_GLT8D1"	713.00	703.00	785.00	818.00
"ENSG00000017260_ATP2C1"	1317.00	1176.00	1313.00	1480.00
"ENSG00000017427_IGF1"	7.00	1.00	6.00	3.00
"ENSG00000017483_SLC38A5"	372.00	274.00	242.00	336.00
"ENSG00000017797_RALBP1"	1061.00	1021.00	1074.00	1153.00
"ENSG00000018189_RUFY3"	290.00	244.00	326.00	320.00
"ENSG00000018236_CNTN1"	0.00	0.00	1.00	0.00
"ENSG00000018280_SLC11A1"	1.00	2.00	0.00	1.00
"ENSG00000018408_WWTR1"	2382.00	2711.00	2617.00	3089.00
"ENSG00000018510_AGPS"	1487.00	1495.00	1626.00	1797.00
"ENSG00000018607_ZNF806"	0.00	0.00	0.00	0.00
"ENSG00000018610_CXorf56"	183.00	141.00	160.00	191.00
"ENSG00000018625_ATP1A2"	0.00	0.00	0.00	0.00
"ENSG00000018699_TTC27"	393.00	301.00	313.00	372.00
"ENSG00000018869_ZNF582"	21.00	18.00	23.00	26.00
"ENSG00000019102_VSIG2"	8.00	2.00	10.00	7.00
"ENSG00000019144_PHLDB1"	966.00	875.00	809.00	1043.00
"ENSG00000019169_MARCO"	0.00	0.00	0.00	0.00
"ENSG00000019186_CYP24A1"	0.00	0.00	0.00	0.00
"ENSG00000019485_PRDM11"	125.00	138.00	133.00	162.00
"ENSG00000019505_SYT13"	0.00	0.00	0.00	0.00
